id,embedding,reduced_embedding
1753,"[-2.66283917 -1.8808167  -2.78991342  1.90623081 -0.13594002  0.04036114
  3.01976442 -0.14463423 -0.48856142 -1.44188094 -1.89030337 -2.97755361
 -3.32285619 -0.92498523 -4.89895487 -1.35021925]",[17.258804 26.553398]
2257,"[-1.83453262 -1.00730026 -2.07476926  2.94684577  0.63785589 -0.85811996
  3.72027659 -1.23896992 -1.51777399  1.38235426 -0.72304225 -2.0108912
 -3.58491945  0.37141466 -2.41267133 -0.16220631]",[ -2.5801492 -14.253808 ]
1959,"[-1.75393534 -3.29776144 -3.72134781  2.42207503  0.60217875 -0.18858775
  2.84056377 -1.7512002  -0.49425736 -0.85940999 -2.59846091 -3.29473782
 -2.68301225 -1.24579883 -3.87617183 -1.67888129]",[14.301717 33.60368 ]
1888,"[-3.04166079e+00 -1.36884236e+00 -2.74057102e+00  1.93533456e+00
  5.63224375e-01 -1.72705535e-04  2.80055499e+00 -4.83456552e-01
 -6.64022803e-01 -1.04347014e+00 -1.96086812e+00 -2.66209364e+00
 -3.51969838e+00 -4.95572686e-01 -5.20011520e+00 -1.43825269e+00]",[16.911257 25.669086]
1720,"[ 0.31610635 -2.88204145 -2.62222552  3.76545858  0.14343776 -0.98329175
  3.63235974 -2.26160717 -3.01961946  0.39059341 -2.96561193 -0.83561873
 -3.43672848  2.01215053 -0.58157516 -0.02969536]",[  9.68799  -12.101713]
1806,"[-2.45951486  2.00500393 -3.54604387  2.41580296  1.41776645 -0.55190128
  2.03193784  0.20085439 -4.45143175  0.54423028 -0.12417045 -1.4285599
 -5.86126041  1.79023373 -1.9617914   2.02578449]",[-20.200436  -2.040551]
1880,"[-3.16933084 -1.29597485 -3.80888891  2.16418624  0.75417763  0.04233482
  2.19154525  0.61828882 -1.54453146 -1.9336803  -1.92649114 -2.42136836
 -3.58313847 -0.52729058 -3.73584747 -0.88025445]",[ 6.0383196 28.617609 ]
1797,"[-2.18083596  0.9080016  -4.43224096  2.61846948  0.48196861 -1.32224751
  2.53275728  0.13238472 -4.11224222  0.24429673 -0.01322242 -1.23703349
 -4.72042465 -0.69726241 -1.3492744   0.82350355]",[-15.488073   1.725124]
1859,"[-2.27092218 -0.21303247 -3.66746044  2.60928464  0.78408474 -1.43240941
  3.02032518 -0.3172833  -3.13878012  0.49672195 -0.49464118 -1.09667432
 -3.88009501 -0.07079435 -1.38324106  0.76779079]",[-7.967699 -7.993292]
1872,"[-1.82302094 -3.03826737 -3.70375848  2.42013621  0.409996    0.14956096
  2.76912928 -0.72203553 -0.15634286 -1.17101014 -2.56870651 -3.04082179
 -2.7277329  -1.31626618 -4.01429653 -1.64936531]",[13.479486 32.10574 ]
1836,"[-1.44602644 -1.66492116 -2.95917726  2.27765846  2.20767665 -0.56484163
  3.14983058 -1.61095321 -2.41345334  0.14492543 -1.41241336 -0.8364113
 -5.04245949  0.62457556 -1.33765614  0.74736053]",[-4.5902395 -4.9234915]
2244,"[-1.91948092 -1.34208047 -2.5394063   2.92352176  1.04558682 -1.40177381
  4.03876686 -0.78017819 -1.64956725  2.09480715 -1.8010416  -0.73468041
 -2.82248116  1.13287401 -1.27451468  0.69862056]",[  3.6459587 -11.497742 ]
